一,1
乙,1
乚,1
丁,2
丂,2
七,2
乂,2
乃,2
乜,2
九,2
了,2
二,2
人,2
儿,2
入,2
八,2
冂,2
几,2
凵,2
刀,2
刁,2
力,2
匕,2
匚,2
十,2
卜,2
卩,2
厂,2
厶,2
又,2
万,3
丈,3
三,3
上,3
下,3
丌,3
个,3
丫,3
丸,3
久,3
乇,3
么,3
义,3
乞,3
也,3
习,3
乡,3
亍,3
于,3
亏,3
亡,3
亼,3
亿,3
兀,3
凡,3
刃,3
勺,3
千,3
卪,3
卫,3
叉,3
口,3
囗,3
土,3
士,3
夊,3
夕,3
大,3
女,3
子,3
孑,3
孓,3
宀,3
寸,3
小,3
尢,3
尸,3
屮,3
山,3
巛,3
川,3
工,3
己,3
已,3
巳,3
巾,3
干,3
广,3
廾,3
弋,3
弓,3
彳,3
才,3
门,3
飞,3
马,3
夨,3
兀,3
㕚,4
㞢,4
不,4
与,4
丏,4
丐,4
丑,4
专,4
中,4
丮,4
丯,4
丰,4
丹,4
为,4
之,4
乌,4
书,4
予,4
云,4
互,4
亓,4
五,4
井,4
亢,4
什,4
仁,4
仂,4
仃,4
仄,4
仅,4
仆,4
仇,4
仈,4
仉,4
今,4
介,4
仍,4
从,4
仑,4
仓,4
允,4
元,4
內,4
公,4
六,4
兮,4
内,4
冇,4
冈,4
冗,4
冘,4
凤,4
凶,4
分,4
切,4
刈,4
劝,4
办,4
勻,4
勼,4
勾,4
勿,4
匀,4
化,4
匹,4
区,4
卅,4
升,4
午,4
卞,4
卬,4
厄,4
厅,4
历,4
厷,4
厹,4
及,4
友,4
反,4
圠,4
壬,4
夃,4
天,4
太,4
夫,4
夬,4
夭,4
孔,4
尐,4
少,4
尤,4
尹,4
尺,4
屯,4
巴,4
巿,4
帀,4
币,4
幻,4
廿,4
开,4
弔,4
引,4
心,4
忆,4
戈,4
戶,4
户,4
手,4
扎,4
支,4
攴,4
文,4
斗,4
斤,4
方,4
旡,4
日,4
曰,4
月,4
木,4
欠,4
止,4
歹,4
殳,4
毋,4
毌,4
比,4
毛,4
氏,4
气,4
水,4
火,4
爪,4
父,4
爻,4
爿,4
片,4
牙,4
牛,4
犬,4
王,4
见,4
计,4
订,4
讣,4
认,4
讥,4
贝,4
车,4
闩,4
韦,4
风,4
必,4
犮,4
㐱,5
㠯,5
且,5
丕,5
世,5
丘,5
丙,5
业,5
丛,5
东,5
丝,5
丱,5
主,5
丼,5
乍,5
乎,5
乏,5
乐,5
仔,5
仕,5
他,5
仗,5
付,5
仙,5
仚,5
仜,5
仝,5
仞,5
仟,5
仡,5
代,5
令,5
以,5
仨,5
仩,5
仪,5
们,5
兄,5
充,5
兰,5
冉,5
冊,5
册,5
写,5
冬,5
冯,5
凸,5
凹,5
出,5
击,5
刉,5
刊,5
刌,5
刍,5
功,5
加,5
务,5
劢,5
匄,5
包,5
匆,5
北,5
匜,5
匝,5
卉,5
半,5
卌,5
占,5
卡,5
卢,5
卮,5
卯,5
厈,5
厉,5
去,5
发,5
古,5
句,5
另,5
叨,5
叩,5
只,5
叫,5
召,5
叭,5
叮,5
可,5
台,5
叱,5
史,5
右,5
叵,5
司,5
叹,5
叻,5
叼,5
囚,5
四,5
圢,5
圣,5
处,5
外,5
夗,5
央,5
夯,5
失,5
头,5
奴,5
奶,5
孕,5
宁,5
它,5
宄,5
对,5
尒,5
尔,5
尻,5
尼,5
屳,5
屴,5
屵,5
左,5
巧,5
巨,5
市,5
布,5
帄,5
帅,5
平,5
幼,5
庀,5
庂,5
弁,5
弗,5
弘,5
归,5
忉,5
戉,5
戊,5
戋,5
扐,5
扑,5
扒,5
打,5
扔,5
斥,5
旦,5
旧,5
未,5
末,5
本,5
札,5
朮,5
术,5
正,5
歺,5
母,5
氐,5
民,5
氕,5
氶,5
永,5
氹,5
氻,5
氾,5
氿,5
汀,5
汁,5
汃,5
汇,5
汉,5
灭,5
犯,5
犰,5
玄,5
玉,5
玊,5
瓜,5
瓦,5
甘,5
生,5
用,5
甩,5
田,5
由,5
甲,5
申,5
电,5
疋,5
疒,5
癶,5
白,5
皮,5
皿,5
目,5
矛,5
矢,5
石,5
示,5
禸,5
禾,5
穴,5
立,5
纠,5
肊,5
讦,5
讧,5
讨,5
让,5
讪,5
讫,5
讬,5
训,5
议,5
讯,5
记,5
讱,5
轧,5
邓,5
长,5
闪,5
阞,5
队,5
饤,5
饥,5
驭,5
鸟,5
龙,5
尕,5
㓞,6
㕧,6
㫃,6
㲿,6
䇂,6
丞,6
丟,6
丢,6
乒,6
乓,6
乔,6
乩,6
买,6
争,6
亙,6
亚,6
交,6
亥,6
亦,6
产,6
仰,6
仱,6
仲,6
仳,6
仴,6
仵,6
件,6
价,6
任,6
份,6
仿,6
伀,6
企,6
伂,6
伄,6
伅,6
伈,6
伉,6
伊,6
伋,6
伍,6
伎,6
伏,6
伐,6
休,6
伒,6
伓,6
伔,6
伕,6
众,6
优,6
伙,6
会,6
伛,6
伝,6
伞,6
伟,6
传,6
伢,6
伣,6
伤,6
伥,6
伦,6
伧,6
伪,6
伫,6
伬,6
兆,6
兇,6
先,6
光,6
全,6
共,6
关,6
兴,6
再,6
军,6
农,6
冰,6
冱,6
凫,6
刎,6
刐,6
刑,6
划,6
刓,6
刖,6
列,6
刘,6
则,6
刚,6
创,6
劣,6
劦,6
动,6
匈,6
匟,6
匠,6
匡,6
匢,6
卍,6
华,6
协,6
印,6
危,6
厊,6
压,6
厌,6
厍,6
吁,6
吃,6
各,6
吆,6
吇,6
合,6
吉,6
吊,6
吋,6
同,6
名,6
后,6
吏,6
吐,6
向,6
吒,6
吓,6
吕,6
吗,6
囝,6
回,6
囟,6
因,6
囡,6
团,6
在,6
圩,6
圪,6
圬,6
圭,6
圮,6
圯,6
地,6
圳,6
圴,6
圹,6
场,6
壮,6
夙,6
多,6
夷,6
夸,6
夹,6
夺,6
夼,6
奷,6
奸,6
她,6
奻,6
奼,6
好,6
奾,6
奿,6
妀,6
妁,6
如,6
妃,6
妄,6
妅,6
妆,6
妇,6
妈,6
孖,6
字,6
存,6
孙,6
宅,6
宇,6
守,6
安,6
寺,6
寻,6
导,6
尖,6
尥,6
尧,6
屰,6
屹,6
屺,6
屻,6
屼,6
屾,6
屿,6
岁,6
岂,6
州,6
巟,6
帆,6
师,6
年,6
幵,6
庄,6
庆,6
异,6
式,6
弚,6
弛,6
当,6
彴,6
忏,6
忔,6
忕,6
忖,6
戌,6
戍,6
戎,6
戏,6
成,6
托,6
扙,6
扚,6
扛,6
扜,6
扞,6
扠,6
扡,6
扢,6
扣,6
扤,6
扥,6
扦,6
执,6
扩,6
扪,6
扫,6
扬,6
收,6
攷,6
旨,6
早,6
旬,6
旭,6
旮,6
旯,6
曲,6
曳,6
有,6
朱,6
朳,6
朴,6
朵,6
朸,6
朹,6
机,6
朻,6
朼,6
朽,6
朾,6
朿,6
杀,6
杂,6
权,6
次,6
欢,6
此,6
死,6
毕,6
氖,6
氘,6
汆,6
汊,6
汋,6
汌,6
汍,6
汎,6
汏,6
汐,6
汒,6
汔,6
汕,6
汗,6
汙,6
汛,6
汜,6
汝,6
江,6
池,6
污,6
汤,6
灰,6
灱,6
爷,6
牝,6
牞,6
牟,6
犴,6
犵,6
犷,6
玎,6
玑,6
甪,6
百,6
癿,6
穵,6
竹,6
米,6
糸,6
纡,6
红,6
纣,6
纤,6
纥,6
约,6
级,6
纨,6
纩,6
纪,6
纫,6
纶,6
缶,6
网,6
羊,6
羽,6
老,6
考,6
而,6
耒,6
耳,6
聿,6
肉,6
肋,6
肌,6
臣,6
自,6
至,6
臼,6
舌,6
舛,6
舟,6
艮,6
色,6
艸,6
虍,6
虫,6
血,6
行,6
衣,6
襾,6
西,6
观,6
讲,6
讳,6
讴,6
讵,6
讶,6
讷,6
许,6
讹,6
论,6
讼,6
讽,6
设,6
访,6
诀,6
贞,6
负,6
轨,6
边,6
辽,6
邔,6
邗,6
邘,6
邙,6
邛,6
邝,6
钆,6
钇,6
闫,6
闬,6
闭,6
问,6
闯,6
阠,6
阡,6
阢,6
阣,6
阤,6
页,6
饦,6
饧,6
驮,6
驯,6
驰,6
齐,6
佤,6
忘,6
状,6
芋,6
忙,7
㞷,7
㧑,7
㳄,7
两,7
严,7
串,7
乱,7
亨,7
亩,7
伭,7
伯,7
估,7
伳,7
伴,7
伶,7
伸,7
伺,7
伻,7
似,7
伽,7
伾,7
伿,7
佁,7
佃,7
但,7
佇,7
佈,7
佉,7
位,7
低,7
住,7
佐,7
佑,7
佒,7
体,7
佔,7
何,7
佖,7
佗,7
佘,7
余,7
佚,7
佛,7
作,7
佝,7
佞,7
佟,7
你,7
佡,7
佢,7
佣,7
佥,7
佧,7
克,7
兌,7
兑,7
兵,7
冏,7
冶,7
冷,7
冹,7
冻,7
刜,7
刞,7
刡,7
判,7
別,7
刨,7
利,7
刪,7
别,7
刭,7
助,7
努,7
劫,7
劬,7
劭,7
劮,7
励,7
劲,7
劳,7
匉,7
匣,7
卣,7
卲,7
即,7
卵,7
厎,7
厏,7
县,7
吘,7
吙,7
君,7
吜,7
吝,7
吞,7
吟,7
吠,7
吤,7
吥,7
否,7
吧,7
吨,7
吩,7
吪,7
含,7
听,7
吭,7
吮,7
吰,7
吱,7
吳,7
吵,7
吶,7
吷,7
吸,7
吹,7
吻,7
吼,7
吽,7
吾,7
呀,7
呁,7
呂,7
呃,7
呅,7
呆,7
呇,7
呈,7
告,7
呎,7
呏,7
呐,7
呒,7
呓,7
呔,7
呕,7
呖,7
呗,7
员,7
呙,7
呛,7
呜,7
囤,7
囥,7
囧,7
囪,7
囫,7
囮,7
困,7
囱,7
围,7
囵,7
圻,7
圾,7
址,7
坁,7
坅,7
均,7
坉,7
坊,7
坋,7
坌,7
坍,7
坎,7
坏,7
坐,7
坑,7
坒,7
块,7
坚,7
坛,7
坜,7
坝,7
坞,7
坟,7
坠,7
壯,7
夆,7
夾,7
奀,7
奁,7
奂,7
妊,7
妌,7
妎,7
妏,7
妐,7
妒,7
妓,7
妖,7
妗,7
妘,7
妙,7
妝,7
妞,7
妠,7
妡,7
妢,7
妣,7
妤,7
妥,7
妦,7
妧,7
妨,7
妩,7
妪,7
妫,7
孚,7
孛,7
孜,7
孝,7
宋,7
完,7
宍,7
宎,7
宏,7
宒,7
寽,7
寿,7
尨,7
尪,7
尬,7
尾,7
尿,7
局,7
屁,7
层,7
岆,7
岈,7
岉,7
岊,7
岋,7
岌,7
岏,7
岐,7
岑,7
岒,7
岓,7
岔,7
岕,7
岖,7
岗,7
岘,7
岙,7
岚,7
岛,7
巠,7
巡,7
巫,7
帊,7
希,7
帎,7
帏,7
帐,7
庇,7
庈,7
庉,7
床,7
庋,7
庌,7
庍,7
序,7
庐,7
庑,7
库,7
应,7
廷,7
弄,7
弅,7
弝,7
弟,7
张,7
形,7
彤,7
彶,7
彷,7
彸,7
役,7
彻,7
忌,7
忍,7
忐,7
忑,7
忒,7
志,7
忡,7
忣,7
忤,7
忨,7
忪,7
快,7
忭,7
忮,7
忯,7
忱,7
忳,7
忴,7
忷,7
忸,7
忺,7
忻,7
怀,7
怃,7
怄,7
怅,7
怆,7
我,7
戒,7
戺,7
扭,7
扮,7
扯,7
扰,7
扱,7
扲,7
扳,7
扴,7
扶,7
扷,7
批,7
扺,7
扻,7
扼,7
扽,7
找,7
技,7
抁,7
抃,7
抄,7
抆,7
抇,7
抈,7
抉,7
把,7
抌,7
抎,7
抏,7
抑,7
抒,7
抓,7
抔,7
投,7
抖,7
抗,7
折,7
抛,7
抟,7
抠,7
抡,7
抢,7
护,7
报,7
攸,7
改,7
攻,7
攼,7
旰,7
旱,7
旲,7
旳,7
旴,7
旵,7
时,7
旷,7
旸,7
更,7
杅,7
杆,7
杇,7
杈,7
杉,7
杋,7
杌,7
杍,7
李,7
杏,7
材,7
村,7
杓,7
杕,7
杖,7
杗,7
杙,7
杚,7
杜,7
杝,7
杞,7
束,7
杠,7
条,7
来,7
杨,7
杩,7
步,7
歼,7
每,7
毐,7
氙,7
氚,7
求,7
汞,7
汥,7
汦,7
汧,7
汨,7
汩,7
汪,7
汫,7
汭,7
汯,7
汰,7
汱,7
汲,7
汳,7
汴,7
汶,7
汸,7
決,7
汻,7
汽,7
汾,7
沁,7
沂,7
沃,7
沄,7
沅,7
沆,7
沇,7
沈,7
沉,7
沋,7
沌,7
沍,7
沎,7
沏,7
沐,7
沒,7
沔,7
沕,7
沖,7
沘,7
沙,7
沚,7
沛,7
沜,7
没,7
沣,7
沤,7
沥,7
沦,7
沧,7
沩,7
沪,7
灴,7
灶,7
灸,7
灺,7
灼,7
災,7
灾,7
灿,7
炀,7
牠,7
牡,7
牢,7
牣,7
犺,7
犽,7
犿,7
狁,7
狂,7
狃,7
狄,7
狅,7
狆,7
狈,7
玒,7
玓,7
玔,7
玕,7
玖,7
玗,7
玚,7
玛,7
甫,7
甬,7
男,7
甸,7
甹,7
町,7
疔,7
疕,7
疖,7
疗,7
皀,7
皁,7
皂,7
盯,7
矣,7
矶,7
礽,7
禿,7
秀,7
私,7
究,7
穷,7
糺,7
系,7
纬,7
纭,7
纮,7
纯,7
纰,7
纱,7
纲,7
纳,7
纴,7
纵,7
纷,7
纸,7
纹,7
纺,7
纻,7
